"text","label"
"Itaú supera expectativas com lucro de R$ 6,25 bi; 3 resultados, Petrobras e Oi agitam o radar",1
"Itaú Unibanco tem lucro recorrente de R$5,817 bi no 4º",1
"Após Argentina e Turquia, Brasil pode ser o próximo na crise cambial dos emergentes, alerta El-Erian",0
"Petrobrás, Vale e siderúrgicas ainda estão longe das máximas na BM&FBovespa",0
"Embraer e Boeing enfim assinam acordo bilionário; mais notícias positivas para Petrobras e Eletrobras e outros destaques",1
"Bovespa recua, sem alteração no volume de negociações de 64% dos investidores",0
"Bovespa fecha em alta e abre a semana no positivo",1
"BR Distribuidora salta 4% em estreia na bolsa; Estácio avança e Vale sobe 2% com minério",1
"Brasil está caminhando para uma crise financeira única, diz The Economist",0
"Itaú vai cooperar com BC para reduzir juro em rotativo e prazo de reembolso ao comércio, diz Setubal",1
"Itaú BBA estima Ibovespa a 87.900 pontos ao final de 2018 e aponta 10 ações vencedoras para o ano",1
"Petrobras pagará R$ 2,3 bi em juros sobre capital próprio",1
"Alta do gás faz explodir acidentes com álcool de cozinha em PE",0
"ANP diz que vai punir posto que fizer reajuste abusivo de preço",0
"Ibovespa tenta subir, mas exterior volta a pesar após dados fracos dos EUA",0
"Petrobras volta a registrar ganhos e avança mais de 1%; 5 ações reagem a recomendações com alta de até 5%",1
"10 small caps recomendadas pelo Itaú BBA",1
"Refinaria da Petrobras interditada, opção de venda da Marfrig e outras notícias no radar",0
"Banco do Brasil e UBS assinam acordo para lançar banco de investimento",1
"Bovespa sobe e encerra janeiro com ganho acumulado de 7,4%",1
"Dólar fecha em R$ 4,07, alta de 1,6%, maior patamar em três meses. Ibovespa recua 0,33%, a 99.468 pontos.",0
"A reação ""explosiva"" das ações da Petrobras após rumor de que o Centrão irá apoiar Alckmin",1
"Tesla e mais 15 empresas “gringas” passam a ser negociadas na Bovespa hoje",1
"Com incertezas locais e externas, Bolsa cai 2,5% e dólar fecha a R$ 3,92",0
"Facebook perde US$ 119 bilhões e tem a maior queda de uma empresa na história dos EUA",0
"Ações da C&A estreiam na B3 com alta de 5%",1
"Produção total de petróleo e gás da Petrobras soma 2,67 mi de boed em maio",1
"A luta contra a democracia",0
"Banco do Brasil pagará R$ 0,313 por ação em 30 de setembro",1
"Preço da gasolina sobe 3,5% e do diesel tem alta de 4,2%, anuncia Petrobras",1
"PIB do Brasil recua 0,2% e tem primeira queda trimestral desde 2016",0
"Itaú lucra R$ 22 bi e paga R$ 10 bi em proventos em 2016; MPF pede bloqueio de R$ 3,8 bi na JF e mais destaques",1
"Veja cinco cursos online da BM&F Bovespa para quem quer aprender a investir",1
"Ibovespa sobe mais de 1% na abertura e recupera os 64 mil pontos, puxado por Itaú e Vale e de olho em Brasília",1
"Ações da Vale podem ter caído demais, diz Morgan Stanley",0
"Embraer salta 6% com venda ""cada vez mais próxima""; Vale e Petrobras caem com commodities",0
"Vale e Petrobras sobem mais de 1%, Gafisa cai 2% após recomendação e 2 small caps avançam com guidance positivo",1
"Crise emperra recuperação de construtoras",0
"5 notícias sobre a Petrobras, liminar barra maior caso da história do Carf, Ambev rebaixada e outros destaques",0
"Vale e Bradesco anunciam dividendos, Smiles e Gol reajustam preços e mais destaques",1
"Ações de Gol e Azul fecham em alta após caírem até 10% mais cedo; Petrobras sobe com petróleo e IRB cai 10%",1
"Custos de desastre da Samarco podem ser divididos entre Vale e BHP",0
"Veja os diferenciais de investir em fundos imobiliários na Bovespa durante 2017",1
"Dólar vai a R$ 3,81 e fecha no maior patamar em mais de dois anos; Bolsa cai 2,5%",0
"Sauditas retomam produção e petróleo cai 6,5%",0
"Ações da Petrobras fecham com alta modesta, apesar do petróleo; Telebras dispara com aumento de capital e IRB cai 8,5%",1
"Amoêdo defende taxação de igrejas e privatização de Petrobras e bancos públicos",1
"Ibovespa mira os 90.000 pontos e por que Petrobras, Vale e Itaú devem seguir esse rali",1
"Bovespa opera em baixa nesta quinta-feira, com recuo de 0,22%",0
"Itaú BBA vê ação do BB ""barata"", Petrobras nega pressão contra venda de sua parte na Braskem e outras notícias",1
"China dá resposta bastante dura aos EUA e XP aponta cenário binário para guerra comercial",0
"Aposta na alta da ação de Bradespar gera novo “tiro certo” na Carteira InfoMoney",1
"Casal de idosos com conta há 43 anos é abandonado pelo Itaú",0
"Banco do Brasil e UBS estão perto de fechar joint venture em banco de investimento, diz Reuters",1
"Embraer afunda 4,7% com ministro contra acordo com Boeing; Vale cai quase 5% e 8 ações reagem a resultados",0
"Vale o risco? Banco aponta 3 motivos para vender as ações da Embraer",0
"Quanto ganhou quem investiu R$ 1 mil há 10 anos em 20 ativos diferentes",1
"Bovespa sobe 0,27% amparada em ganhos do Itaú e da Vale",1
"Vale lucra US$ 771 mi, Gerdau reverte prejuízo e mais 7 balanços; Petrobras e Eletrobras perto de acordo bilionário e outros destaques",1
"Ação da Cielo fecha em alta de 14% após saltar 34% em meio a acordo com WhatsApp – mas há motivos para tanto otimismo?",1
"Vale cai 20% em dois meses, mas calma: ela ainda é uma boa empresa",0
"O fim dos monopólios remanescentes",0
"Itaú Unibanco corta projeção para PIB em 2017 de 1,5% para 1,0%",0
"Santander recomenda compra de Itaú e outras 8 ações para junho",1
"Bovespa reverte queda e tem leve alta nesta terça",1
"Braskem salta até 20% com Odebrecht negociando venda; Vale cai quase 2% com China",0
"Petrobras perde ação de R$ 2,4 bilhões no exterior",0
"Cerveja: AmBev, maior do Brasil, quer fechar capital da Quinsa, maior da Argentina",1
"Em meio à alta da Bolsa, empresas retomam planos de fazer ofertas de ações na B3",1
"Vale: ações já subiram 37% neste ano, mas investidores não perdem a confiança",1
"BM&F Bovespa promove projeto para diminuir impactos ambientais",1
"Guerra comercial derruba Bolsas no mundo e faz dólar subir no Brasil",0
"Eletrobras cai após recomendação de venda pelo Santander; Petrobras e Vale têm leves ganhos",1
"Petrobras passa por 1º ""teste de fogo"" e traz alívio aos investidores ao subir preços dos combustíveis",1
"Bovespa opera em alta, com investidores a espera da reforma da Previdência",1
"Ibovespa tem queda refletindo incertezas no exterior; dólar e DIs avançam",0
"Queda da Bolsa se deve mais ao receio de recessão global do que à Argentina",0
"Fique ligado ao horário do pregão da Bovespa nesta quarta-feira e nos próximos dias",1
"Bovespa opera oscilante, com trajetória de baixas nas ações da Vale",0
"Petrobras e Vale sobem com exterior; Lojas Americanas dispara quase 5% com recomendação",1
"Ações da Petrobras saltam quase 5%, Vale avança 3% e bancos sobem forte; IRB e frigoríficos fecham em queda",1
"Alliar Médicos à Frente estreia na Bovespa nesta sexta-feira; conheça a empresa",1
"Deputados aprovam permissão para Petrobras negociar áreas do pré-sal",1
"Vale e Petrobras caem com guerra comercial; Light dispara com italiana de olho na companhia",0
"Ibovespa sobe com resultado da Petrobras e dados de emprego decepcionantes nos EUA",1
"Apesar de interdição da ANP, Petrobrás diz que retomará operações da Replan",0
"Puxado por Vale e Petrobras, índice de ADRs Brazil Titans abre em alta em Wall Street",1
"Com alta de 170% da ação em 2019, Sinqia reforça duas vias de crescimento após balanço do 3º tri",1
"Vale cai 2,7% e Braskem salta 3% com recomendações; Petrobras ""ignora"" petróleo e sobe",0
"Lula diz que declaração de Dilma sobre Pasadena foi um “tiro no pé”",0
"Petrobras tem um de seus maiores catalisadores adiado - e tese de investimento fica mais binária",0
"Petrobras não irá reconhecer provisão de R$ 15,2 bilhões e irá recorrer de decisão do TST",0
"Impulsionada por ganhos da Vale, Bovespa inicia a semana em alta",1
"Ambev lança nova cerveja “popular” com mandioca, a Magnífica",1
"Petrobras aumenta gasolina, Suzano compra ativos da Duratex por R$ 750 mi e mais notícias no radar",0
"Embraer cai 7% após anúncio de acordo com a Boeing; Eletrobras e Petrobras estendem rali",0
"Justiça na Suíça multa Vale em US$ 233 mi",0
"STF suspende efeitos de julgamento que obriga Petrobrás a pagar R$ 17 bi em ações trabalhistas",0
"Comprar ação do Itaú ou do Banco do Brasil? Analistas sem Censura respondem",1
"Três assaltantes morreram durante tentativa de assalto ao Banco do Brasil, em Benevides",0
"Bovespa fecha em alta, otimista com novos estímulos nos Estados Unidos",1
"Petrobras dispara 12% em duas sessões; Ultrapar afunda 4% com aprovação de projeto no Senado",1
"Bovespa acompanha otimismo global e começa a semana em alta",1
"Diesel sobe até 14,4% com alta do câmbio e do preço internacional",0
"Com melhora do cenário externo, dólar reduz alta e fecha dia em R$ 3,91; Bolsa cai 1,02%",0
"Ex-diretores da Petrobras e Dilma viram réus na CVM",0
"Por que as ações da Vale sobem, enquanto os títulos de dívida estão em queda?",1
"Ibovespa sobe com impulso de Petrobras e Vale; DIs recuam digerindo ata do Copom",1
"Chegou a hora da Vale?",1
"Ações do Brasil são rebaixadas por Santander e Itaú BBA; JBS, Petrobras e mais destaques no radar",0
"Petrobrás sobe de novo preço da gasolina e valor atinge recorde",0
"Itaú dispara após balanço positivo - mas analistas divergem sobre futuro da ação na Bolsa",1
"Petrobras fecha segundo trimestre com lucro de R$ 10,07 bi, o maior desde 2011",1
"Maior gestora do mundo vende ações da Petrobras; dividendos de R$ 1,2 bi do Bradesco e mais notícias no radar",0
"Petrobras registra sexto maior prejuízo entre as empresas listadas na Bovespa",0
"Bovespa cai 1,8% com realizações de lucros em dia de aversão global a risco",0
"Ambev e outras gigantes de bebidas pressionam governo por incentivo fiscal; Vale, recomendações e mais destaques",1
"Banco do Brasil fecha parceria com o UBS, plataforma da Petrobras tem produção suspensa e mais destaques",0
"Petrobras tem maior lucro trimestral da história com venda de ativos; balanços de Hering, Localiza e mais destaques",1
"Preço médio da gasolina nas refinarias sobe e já supera os R$ 2,20",0
"Petrobras conclui venda do restante da TAG por R$ 1 bi; Braskem capta US$ 600 mi, produção da Vale e mais notícias",1
"Ações da Petrobras e do Banco do Brasil são as preferidas dos analistas em maio; confira recomendações",1
"Funcionários da Vale fazem paralisação por pagamento de PLR",0
"Exercício de opções movimenta mais de R$ 5,5 bilhões na B3; Petrobras lidera contratos de venda",1
"Bovespa encerra sessão volátil em queda de 1,63%, após declarações de Yellen",0
"Vale e Samarco fecham acordo para encerrar ação de R$ 20 bi sobre desastre em Mariana",0
"Incêndio em refinaria da Petrobras, dividendo extraordinário da CSN e mais notícias",0
"Prefeitura de SP registra valor recorde de patrocínio para Carnaval de rua",1
"Vale (VALE3) tem lucro de R$ 6,461 bilhões no 3º trimestre",1
"Itaú tem lucro de R$ 6,38 bilhões no 2º tri; queda no lucro da Cielo e mais resultados no radar",1
"Com prêmio de R$ 20 mil, Ambev busca startups para criar novas experiências de consumo",1
"Dólar tem primeira alta em quatro pregões e fecha a R$ 3,76",0
"Se a bolha dos EUA estourar, podemos ter uma crise pior que a de 2008, diz Ricardo Amorim",0
"Ibovespa cai 2,5% após Trump dizer que responderá a tarifas da China; dólar supera R$ 4,11",0
"Na pandemia, Ambev cria diretoria de saúde mental",1
"Ibovespa segue perigoso apesar dos destaques positivos de Petrobras, Gerdau, Vale e B2W",1
"Duas empresas anunciam dividendos, recomendação de Petrobras e mais notícias no radar",1
"Bolsa acentua queda com início do julgamento do habeas corpus de Lula",0
"Gol e Ambev venderão passagens a preço de lata de cerveja durante jogo do Brasil nesta terça-feira",1
"Bovespa encerra a segunda-feira com queda de 0,4%",0
"Ações de 4 pesos-pesados da Bovespa ficam ""ex-dividendos"" amanhã; confira",0
"Governo quer parceria com a Vale para ferrovia; Petrobras paga US$ 5 bi em dívidas e mais 6 notícias",1
"Dólar fecha em alta de 0,43%, cotado a R$ 4,17",0
"Com R$ 7,7 billhões distribuídos, Itaú é banco que mais pagou dividendos em 2016; veja o ranking",1
"Bovespa fecha em queda de 0,43% após ganhos recentes e com prisão de Cunha do radar",0
"Embraer dispara 5% com avanço no acordo com Boeing; Vale sobe seguindo minério e ações reagem a recomendações",1
"Petrobras pode superar meta de produção caso atrase vendas de ativos, diz Itaú BBA",1
"De Petrobras a Ambev: 14 empresas que se destacaram nesta temporada de resultados",1
"Carf: Itaú deverá pagar tributação sobre plano de venda de ações",0
"Produção de petróleo recua ao nível de 2016",0
"Detalhes da fusão Cetip/Bovespa: benefício fiscal pode chegar a R$ 374 mi por ano, diz Deutsche",1
